"province_ID","household.CNT","HOUSEMEMBER_CNT","MOF_REG_CNT","MOF_VAL_CNT","ELDERLY_CNT","DISABLED_CNT","CHRONICPATIENT_CNT","happiness","indicator1.ALL","indicator2.ALL","indicator3.ALL","indicator4.ALL","indicator5.ALL","indicator6.ALL","indicator7.ALL","indicator8.ALL","indicator9.ALL","indicator10.ALL","indicator11.ALL","indicator12.ALL","indicator13.ALL","indicator14.ALL","indicator15.ALL","indicator16.ALL","indicator17.ALL","indicator18.ALL","indicator19.ALL","indicator20.ALL","indicator21.ALL","indicator22.ALL","indicator23.ALL","indicator24.ALL","indicator25.ALL","indicator26.ALL","indicator27.ALL","indicator28.ALL","indicator29.ALL","indicator30.ALL","indicator31.ALL","indicator1.CNT","indicator2.CNT","indicator3.CNT","indicator4.CNT","indicator5.CNT","indicator6.CNT","indicator7.CNT","indicator8.CNT","indicator9.CNT","indicator10.CNT","indicator11.CNT","indicator12.CNT","indicator13.CNT","indicator14.CNT","indicator15.CNT","indicator16.CNT","indicator17.CNT","indicator18.CNT","indicator19.CNT","indicator20.CNT","indicator21.CNT","indicator22.CNT","indicator23.CNT","indicator24.CNT","indicator25.CNT","indicator26.CNT","indicator27.CNT","indicator28.CNT","indicator29.CNT","indicator30.CNT","indicator31.CNT"
44,213944,718673,246835,186266,131598,9568,12476,8.47316587518229,16267,12783,309083,718660,718660,705972,711743,718673,718673,718673,718639,718665,718665,718665,96467,276880,9085,470,686355,678469,386665,718427,716543,718606,718606,718604,388142,37749,45036,718614,718609,29,122,20,6505,1507,9419,1251,669,52,55,5377,1275,765,123,17,16109,180,7,861,3717,4938,4984,19851,202221,151573,784,108,65,16,2080,3407
45,291321,909538,355710,266256,175873,15679,15603,8.60539748250212,14016,9905,365499,909536,909536,891543,902877,909536,909536,909536,909501,909534,909527,909527,117449,326925,10384,691,857654,847465,488175,908494,908243,909477,909487,909485,490416,58659,52624,909504,909492,29,97,31,3676,1064,6074,1192,429,47,76,3954,6942,1173,169,33,24387,183,5,872,4263,6496,3028,23421,208049,175059,1578,73,67,8,795,2851
46,211650,709339,278816,212211,122313,11134,11929,8.35530829199149,11096,7801,307587,709339,709339,698014,702175,709334,709334,709334,709292,709335,709331,709335,97796,276907,9686,472,677940,671827,358794,708564,705921,708038,707951,707950,360414,42374,42092,707862,707974,15,70,29,1800,1312,3274,963,199,207,516,3720,2995,760,170,9,31753,206,0,1267,3012,3977,2896,40690,149755,165831,1450,890,130,118,376,823
47,249135,743670,262032,210881,123648,9338,10877,8.54694041383186,9569,7529,319229,743669,743669,724372,738005,743669,743669,743669,743635,743669,743669,743669,99214,293899,10434,265,702069,694715,329831,743231,742778,743628,743629,743626,331163,33502,35163,743622,743630,25,58,67,11161,3690,7114,1391,260,123,157,9881,1913,1808,217,56,32920,155,0,1469,2421,3953,919,30436,148934,162929,1244,94,59,14,64,1387
48,166831,505227,192495,142470,83065,6556,7677,8.37479245463973,9240,6188,230313,505223,505223,488745,502578,505227,505227,505227,505209,505227,505227,505227,71331,211546,6317,439,478114,472722,224516,503981,504447,505227,505227,505219,225786,24100,25750,505227,505227,7,43,4,7578,692,5106,175,342,127,199,6374,157,941,92,4,14902,113,4,831,1077,1638,1642,11487,150527,147873,423,17,38,0,31,523
49,87768,243390,92320,72141,39365,2996,2188,8.5296691277003,4573,3052,101251,243389,243389,232915,239588,243390,243390,243390,243383,243390,243390,243390,31498,90957,2892,179,229745,227347,102424,243368,243109,243384,243378,243374,102824,10639,7271,243388,243387,0,6,0,2283,0,0,137,76,994,994,2944,138,113,49,7,1248,22,0,468,436,532,754,16905,55223,40930,15,3,0,6,0,0
50,378466,975845,332499,268579,220363,11898,24050,8.31087865224353,12252,9242,293807,975830,975830,926458,963564,975845,975845,975845,975515,975831,975822,975831,92323,264390,5805,830,892938,884737,481025,975845,973244,975766,975774,975727,482863,37540,60460,975762,975764,80,96,67,33008,24573,17756,10537,3477,3455,6616,51329,6513,20228,679,123,19036,200,24,42297,18744,51556,837,176038,199327,132677,9933,431,145,62,2968,7293
51,115558,312265,105365,83928,75610,7730,13010,8.33103722805864,4919,3704,94609,312265,312265,303597,308844,312263,312263,312263,312233,312263,312263,312263,27909,81748,2368,509,286022,283480,165634,312265,311440,312185,312181,312181,166490,22817,34209,312185,312148,0,15,44,5072,3362,4797,846,410,182,117,7717,657,2249,31,36,2748,0,3,9636,1817,6812,335,22429,61724,42057,133,40,25,9,92,283
52,201010,518240,228192,173368,132161,11634,25219,8.50087060345257,6211,4374,151113,518240,518240,504727,514993,518240,518240,518240,518213,518240,518240,518240,42886,135379,2944,1050,463230,456840,283974,517278,517719,518233,518231,518228,285186,34333,63893,518230,518228,0,7,5,4410,2701,14286,4254,316,614,718,7329,2232,3678,104,11,2907,11,18,3637,8548,33989,1840,39233,111731,74815,3091,20,34,7,758,1414
53,116634,297770,123122,91150,74123,7036,12065,8.44944870277964,4503,3171,99335,297754,297754,288110,295090,297769,297769,297769,297758,297769,297769,297769,28699,91725,2192,338,264984,259578,157837,297734,296703,297724,297732,297731,158796,21158,29688,297730,297705,42,37,23,529,913,9993,2940,254,649,823,3000,428,498,55,3,13463,62,3,1500,3870,18408,281,24690,70829,52360,1336,50,65,6,310,573
54,118050,310457,132877,104805,84065,9126,13995,8.0485472257518,6002,4427,93220,310457,310457,304503,305864,310454,310454,310454,310437,310449,310449,310449,26346,84249,2439,634,277776,274109,174888,310457,309829,310388,310394,310388,175943,26849,35383,310387,310336,0,40,159,1130,1754,6106,825,179,358,376,1160,688,738,91,42,749,21,1,954,2792,12525,558,11366,81800,51165,930,120,45,35,151,181
55,112540,339357,177850,146445,76354,9267,9485,8.1410165274569,7642,5858,130992,339340,339340,332142,328981,339357,339357,339357,339232,339355,339355,339355,40379,117001,3968,438,311899,308388,175872,339313,338639,339307,339314,339311,176951,29117,25877,339325,339313,16,23,65,24136,5719,20050,5737,1199,18201,12214,18225,3385,4362,179,49,7551,77,22,18244,8719,24253,3063,54512,133329,67758,4931,143,64,10,108,1188
56,115620,308960,144361,114980,77365,7131,10788,8.21899325376232,5085,3793,99738,308913,308913,303296,306440,308941,308941,308941,308928,308930,308930,308930,31031,88055,2362,673,276478,272623,163730,308840,308498,308879,308887,308886,164536,20518,26504,308903,308882,9,9,5,2782,1283,2513,801,10,0,2,1152,144,623,85,4,147,4,9,2651,4290,8729,1887,8524,56874,40834,1849,41,69,17,5,56
57,280284,776903,322529,261243,166044,11847,22862,8.42485479014143,11561,8033,269425,776433,776433,749821,765871,776450,776450,776450,776319,776441,776440,776440,87982,237760,5342,312,713469,705358,383389,768771,774090,776377,776382,776353,385214,37367,58654,776810,776807,25,94,248,9646,10528,47315,8458,6667,2288,2092,18219,5473,11298,1163,220,41341,196,15,34516,15606,30271,1776,145217,193126,117139,6124,478,185,18,1444,6438
